Thomas S. Huang , Xiang Sean Zhou
Clayton Springer , Lawrence O. Hall
Lawrence O. Hall , W. Philip Kegelmeyer
Clayton Springer , W. Philip Kegelmeyer
Kirk L. Duffin , William A. Barrett
Lilla Z&ouml;llei , W. Eric L. Grimson
Alexander Norbash , Lilla Z&ouml;llei
Lilla Z&ouml;llei , William M. Wells III
Alexander Norbash , W. Eric L. Grimson
W. Eric L. Grimson , William M. Wells III
Alexander Norbash , William M. Wells III
Michael Greiffenhagen , Visvanathan Ramesh
Heinrich Niemann , Michael Greiffenhagen
Heinrich Niemann , Visvanathan Ramesh
Ming Ye , Robert M. Haralick
Hansen F. Chen , Patrick S. Huggins
Patrick S. Huggins , Peter N. Belhumeur
Patrick S. Huggins , Steven W. Zucker
Hansen F. Chen , Peter N. Belhumeur
Hansen F. Chen , Steven W. Zucker
Peter N. Belhumeur , Steven W. Zucker
Aaron F. Bobick , Rawesak Tanawongsuwan
Camillo J. Taylor , Sang-Hack Jung
Pietro Perona , Silvio Savarese
Mubarak Shah , Sohaib Khan
Jianbo Shi , Stella X. Yu
Aaron F. Bobick , Vivek Kwatra
Amos Y. Johnson , Vivek Kwatra
Aaron F. Bobick , Amos Y. Johnson
Chenyang Xu , Xiao Han
Jerry L. Prince , Xiao Han
Chenyang Xu , Jerry L. Prince
Luis Goncalves , Yang Song
Pietro Perona , Yang Song
Luis Goncalves , Pietro Perona
Chandra Kambhamettu , Ye Zhang
Yong Rui , Yunqiang Chen
Ying Shan , Zicheng Liu
Ying Shan , Zhengyou Zhang
Zhengyou Zhang , Zicheng Liu
Manoj Aggarwal , Narendra Ahuja
Coloma Ballester , Vicent Caselles
Coloma Ballester , Joan Verdera
Coloma Ballester , Marcelo Bertalm&iacute;o
Coloma Ballester , Guillermo Sapiro
Joan Verdera , Vicent Caselles
Marcelo Bertalm&iacute;o , Vicent Caselles
Guillermo Sapiro , Vicent Caselles
Joan Verdera , Marcelo Bertalm&iacute;o
Guillermo Sapiro , Joan Verdera
Guillermo Sapiro , Marcelo Bertalm&iacute;o
Shree K. Nayar , Yoav Y. Schechner
Ren&eacute; Vidal , Yi Ma
Ren&eacute; Vidal , Shawn Hsu
Ren&eacute; Vidal , Shankar Sastry
Shawn Hsu , Yi Ma
Shankar Sastry , Yi Ma
Shankar Sastry , Shawn Hsu
Carsten Rother , Stefan Carlsson
Jianbo Shi , Stella X. Yu
Anthony J. Yezzi , Stefano Soatto
Nikos Paragios , Olivier Mellina-Gottardo
Nikos Paragios , Visvanathan Ramesh
Olivier Mellina-Gottardo , Visvanathan Ramesh
Alin C. Popescu , Hany Farid
Manoj Aggarwal , Narendra Ahuja
Masao Shimizu , Masatoshi Okutomi
Lifeng Liu , Stan Sclaroff
Marie-Pierre Jolly , Yuri Boykov
Deepu Rajan , Subhasis Chaudhuri
Chi-Keung Tang , Yin Li
Heung-Yeung Shum , Yin Li
Chi-Keung Tang , Heung-Yeung Shum
Assaf Zomet , Lior Wolf
Amnon Shashua , Assaf Zomet
Amnon Shashua , Lior Wolf
Edmond Boyer , Marta Wilczkowiak
Marta Wilczkowiak , Peter F. Sturm
Edmond Boyer , Peter F. Sturm
Alexander Vasilevskiy , Kaleem Siddiqi
Michael S. Langer , Richard Mann
Mei Han , Takeo Kanade
Hans-Hellmut Nagel , Markus Middendorf
Fredrik Kahl , Kalle &Aring;str&ouml;m
Holly E. Rushmeier , Silvio Savarese
Fausto Bernardini , Silvio Savarese
Pietro Perona , Silvio Savarese
Fausto Bernardini , Holly E. Rushmeier
Holly E. Rushmeier , Pietro Perona
Fausto Bernardini , Pietro Perona
Jean-Philippe Tarel , Kongbin Kang
Kongbin Kang , Richard Fishman
David B. Cooper , Kongbin Kang
Jean-Philippe Tarel , Richard Fishman
David B. Cooper , Jean-Philippe Tarel
David B. Cooper , Richard Fishman
Ben Southall , Camillo J. Taylor
David Demirdjian , Trevor Darrell
Kiichi Urahama , Kohei Inoue
Andrew Lundberg , Lawrence B. Wolff
Andrew Lundberg , Diego A. Socolinsky
Diego A. Socolinsky , Lawrence B. Wolff
Horst Bischof , Horst Wildenauer
Ales Leonardis , Horst Bischof
Ales Leonardis , Horst Wildenauer
Charles R. Rosenberg , Martial Hebert
Charles R. Rosenberg , Sebastian Thrun
Martial Hebert , Sebastian Thrun
Rahul Sukthankar , Robert G. Stockton
Matthew D. Mullin , Rahul Sukthankar
Matthew D. Mullin , Robert G. Stockton
Benjamin B. Kimia , Christopher M. Cyr
Glenn Healey , Pei-hsiu Suen
Anthony R. Dick , Philip H. S. Torr
Anthony R. Dick , Simon J. Ruffle
Anthony R. Dick , Roberto Cipolla
Philip H. S. Torr , Simon J. Ruffle
Philip H. S. Torr , Roberto Cipolla
Roberto Cipolla , Simon J. Ruffle
Thomas S. Huang , Ying Wu
Kentaro Toyama , Ying Wu
Kentaro Toyama , Thomas S. Huang
Ce Liu , Song Chun Zhu
Ce Liu , Heung-Yeung Shum
Heung-Yeung Shum , Song Chun Zhu
Bjoern Stenger , Visvanathan Ramesh
Bjoern Stenger , Nikos Paragios
Bjoern Stenger , Frans Coetzee
Bjoern Stenger , Joachim M. Buhmann
Nikos Paragios , Visvanathan Ramesh
Frans Coetzee , Visvanathan Ramesh
Joachim M. Buhmann , Visvanathan Ramesh
Frans Coetzee , Nikos Paragios
Joachim M. Buhmann , Nikos Paragios
Frans Coetzee , Joachim M. Buhmann
Michael J. Brooks , Wojciech Chojnacki
Darren Gawley , Michael J. Brooks
Anton van den Hengel , Michael J. Brooks
Darren Gawley , Wojciech Chojnacki
Anton van den Hengel , Wojciech Chojnacki
Anton van den Hengel , Darren Gawley
Hans-Hellmut Nagel , Holger Leuck
Ali Rahimi , Louis-Philippe Morency
Ali Rahimi , Trevor Darrell
Louis-Philippe Morency , Trevor Darrell
Jens Rittscher , Josephine Sullivan
Omar Javed , Sohaib Khan
Sohaib Khan , Zeeshan Rasheed
Mubarak Shah , Sohaib Khan
Omar Javed , Zeeshan Rasheed
Mubarak Shah , Omar Javed
Mubarak Shah , Zeeshan Rasheed
Kar-Han Tan , Narendra Ahuja
Edward M. Riseman , Zhigang Zhu
Allen R. Hanson , Zhigang Zhu
Allen R. Hanson , Edward M. Riseman
Michel Barlaud , St&eacute;phanie Jehan-Besson
Gilles Aubert , St&eacute;phanie Jehan-Besson
Gilles Aubert , Michel Barlaud
Fernando De la Torre , Michael J. Black
Cheng-en Guo , Song Chun Zhu
Cheng-en Guo , Ying Nian Wu
Song Chun Zhu , Ying Nian Wu
R&oacute;mer Rosales , Vassilis Athitsos
Leonid Sigal , R&oacute;mer Rosales
R&oacute;mer Rosales , Stan Sclaroff
Leonid Sigal , Vassilis Athitsos
Stan Sclaroff , Vassilis Athitsos
Leonid Sigal , Stan Sclaroff
Adrian Broadhurst , Tom Drummond
Adrian Broadhurst , Roberto Cipolla
Roberto Cipolla , Tom Drummond
Pascal Fua , Ralf Pl&auml;nkers
Hong Qin , Ye Duan
Amnon Shashua , Lior Wolf
Richard I. Hartley , Robert Kaucic
Nicolas Y. Dano , Robert Kaucic
Nicolas Y. Dano , Richard I. Hartley
Simon Baker , Terence Sim
Simon Baker , Takeo Kanade
Takeo Kanade , Terence Sim
Dorin Comaniciu , Visvanathan Ramesh
Dorin Comaniciu , Peter Meer
Peter Meer , Visvanathan Ramesh
Yi-Ping Hung , Yong-Sheng Chen
Chiou-Shann Fuh , Yong-Sheng Chen
Chiou-Shann Fuh , Yi-Ping Hung
Jitendra Malik , Serge Belongie
Jan Puzicha , Serge Belongie
Jan Puzicha , Jitendra Malik
Leslie Wang , Sing Bing Kang
Heung-Yeung Shum , Leslie Wang
Guangyou Xu , Leslie Wang
Heung-Yeung Shum , Sing Bing Kang
Guangyou Xu , Sing Bing Kang
Guangyou Xu , Heung-Yeung Shum
Hong Hua , Manoj Aggarwal
Manoj Aggarwal , Narendra Ahuja
Hong Hua , Narendra Ahuja
Visvanathan Ramesh , Yanghai Tsin
Takeo Kanade , Yanghai Tsin
Takeo Kanade , Visvanathan Ramesh
Subhasis Chaudhuri , Sundeep Singh Bhasin
Charles R. Dyer , Russell A. Manning
Marie-Pierre Jolly , Nicolae Duta
Gareth Funka-Lea , Marie-Pierre Jolly
Gareth Funka-Lea , Nicolae Duta
Hiroshi Ishikawa , Ian Jermyn
Jeffrey Mark Siskind , Song Wang
Cordelia Schmid , Krystian Mikolajczyk
Hai Tao , Harpreet S. Sawhney
Hai Tao , Rakesh Kumar
Harpreet S. Sawhney , Rakesh Kumar
Tom&aacute;s Pajdla , Tom&aacute;s Werner
Shaogang Gong , Yongmin Li
Heather M. Liddell , Yongmin Li
Heather M. Liddell , Shaogang Gong
Fay Huang , Shou Kang Wei
Fay Huang , Reinhard Klette
Reinhard Klette , Shou Kang Wei
Michael Kaus , Vladimir Pekar
Cristian Lorenz , Michael Kaus
Michael Kaus , Roel Truyen
Michael Kaus , Steven Lobregt
Jens A. Richolt , Michael Kaus
J&uuml;rgen Weese , Michael Kaus
Cristian Lorenz , Vladimir Pekar
Roel Truyen , Vladimir Pekar
Steven Lobregt , Vladimir Pekar
Jens A. Richolt , Vladimir Pekar
J&uuml;rgen Weese , Vladimir Pekar
Cristian Lorenz , Roel Truyen
Cristian Lorenz , Steven Lobregt
Cristian Lorenz , Jens A. Richolt
Cristian Lorenz , J&uuml;rgen Weese
Roel Truyen , Steven Lobregt
Jens A. Richolt , Roel Truyen
J&uuml;rgen Weese , Roel Truyen
Jens A. Richolt , Steven Lobregt
J&uuml;rgen Weese , Steven Lobregt
J&uuml;rgen Weese , Jens A. Richolt
Pascal Fua , Richard Lengagne
Ondrej Drbohlav , Radim S&aacute;ra
Hagen Spies , Hanno Scharr
Adrien Bartoli , Peter F. Sturm
Adrien Bartoli , Radu Horaud
Peter F. Sturm , Radu Horaud
Ko Nishino , Zhengyou Zhang
Katsushi Ikeuchi , Ko Nishino
Katsushi Ikeuchi , Zhengyou Zhang
Erik G. Miller , Kinh Tieu
David A. Casta&ntilde;on , Zhengrong Ying
Kalle &Aring;str&ouml;m , Magnus Oskarsson
Magnus Oskarsson , Niels Chr. Overgaard
Kalle &Aring;str&ouml;m , Niels Chr. Overgaard
Jie Yan , Stan Z. Li
Stan Z. Li , XinWen Hou
Stan Z. Li , ZeYu Li
HongJiang Zhang , Stan Z. Li
Jie Yan , XinWen Hou
Jie Yan , ZeYu Li
HongJiang Zhang , Jie Yan
XinWen Hou , ZeYu Li
HongJiang Zhang , XinWen Hou
HongJiang Zhang , ZeYu Li
Allan D. Jepson , Chakra Chennubhotla
Kah Kay Sung , Terence Tay
Antonio Robles-Kelly , Edwin R. Hancock
Matt Bell , William T. Freeman
Hieu Tat Nguyen , Marcel Worring
Hieu Tat Nguyen , Rein van den Boomgaard
Marcel Worring , Rein van den Boomgaard
Hailin Jin , Paolo Favaro
Hailin Jin , Stefano Soatto
Paolo Favaro , Stefano Soatto
David A. Forsyth , Sergey Ioffe
Ramakant Nevatia , Tao Zhao
Peter R&ouml;sch , Thomas Netsch
Arianne van Muiswinkel , Thomas Netsch
J&uuml;rgen Weese , Thomas Netsch
Arianne van Muiswinkel , Peter R&ouml;sch
J&uuml;rgen Weese , Peter R&ouml;sch
Arianne van Muiswinkel , J&uuml;rgen Weese
Elke Braun , Jannik Fritsch
Elke Braun , Gerhard Sagerer
Gerhard Sagerer , Jannik Fritsch
Daniel Gutchess , Miroslav Trajkovic
Daniel Gutchess , Eric Cohen-Solal
Damian M. Lyons , Daniel Gutchess
Anil K. Jain , Daniel Gutchess
Eric Cohen-Solal , Miroslav Trajkovic
Damian M. Lyons , Miroslav Trajkovic
Anil K. Jain , Miroslav Trajkovic
Damian M. Lyons , Eric Cohen-Solal
Anil K. Jain , Eric Cohen-Solal
Anil K. Jain , Damian M. Lyons
Jaco Vermaak , Michel Gangnet
Andrew Blake , Jaco Vermaak
Jaco Vermaak , Patrick P&eacute;rez
Andrew Blake , Michel Gangnet
Michel Gangnet , Patrick P&eacute;rez
Andrew Blake , Patrick P&eacute;rez
Christopher J. Taylor , Timothy F. Cootes
Philip N. Klein , Thomas B. Sebastian
Benjamin B. Kimia , Thomas B. Sebastian
Benjamin B. Kimia , Philip N. Klein
Antonio Torralba , Pawan Sinha
Michael D. Grossberg , Rahul Swaminathan
Rahul Swaminathan , Shree K. Nayar
Michael D. Grossberg , Shree K. Nayar
Manoj Aggarwal , Narendra Ahuja
Jeong-Hun Jang , Ki-Sang Hong
Thomas S. Huang , Ying Wu
John MacCormick , Michael Isard
Jamie Sherrah , Shaogang Gong
Andrew Blake , Kentaro Toyama
Kiriakos N. Kutulakos , Rodrigo L. Carceroni
Michal Irani , Yaron Caspi
Ramakant Nevatia , Somboon Hongeng
Lars Eckert , Rolf-Rainer Grigat
Ruzena Bajcsy , Shih-Sch&ouml;n Lin
Michael D. Grossberg , Shree K. Nayar
Didier Bondyfalat , Th&eacute;odore Papadopoulo
Bernard Mourrain , Didier Bondyfalat
Bernard Mourrain , Th&eacute;odore Papadopoulo
Song Chun Zhu , Zhuowen Tu
Heung-Yeung Shum , Zhuowen Tu
Heung-Yeung Shum , Song Chun Zhu
Lucas J. van Vliet , Peter Bakker
Peter Bakker , Piet W. Verbeek
Lucas J. van Vliet , Piet W. Verbeek
Ahmed M. Elgammal , Larry S. Davis
Patrick S. Huggins , Steven W. Zucker
Bruce A. Draper , Jos&eacute; Bins
Jukka Heikkonen , Sami S. Brandt
Guillermo Sapiro , Santiago Betel&uacute;
Allen Tannenbaum , Santiago Betel&uacute;
Allen Tannenbaum , Guillermo Sapiro
Jeremy Yermiyahou Kaminski , Michael Fryers
Amnon Shashua , Jeremy Yermiyahou Kaminski
Jeremy Yermiyahou Kaminski , Mina Teicher
Amnon Shashua , Michael Fryers
Michael Fryers , Mina Teicher
Amnon Shashua , Mina Teicher
Luc J. Van Gool , Marc Pollefeys
Le Lu , Long Quan
Heung-Yeung Shum , Long Quan
Long Quan , Maxime Lhuillier
Heung-Yeung Shum , Le Lu
Le Lu , Maxime Lhuillier
Heung-Yeung Shum , Maxime Lhuillier
Song Wang , Weiyu Zhu
Song Wang , Zhi-Pei Liang
Weiyu Zhu , Zhi-Pei Liang
Kwan-Yee Kenneth Wong , Roberto Cipolla
Drew Steedly , Irfan A. Essa
David Liebowitz , Stefan Carlsson
Amnon Shashua , Lior Wolf
Kap Luk Chan , Yong Huang
Yong Huang , ZhongYang Huang
Kap Luk Chan , ZhongYang Huang
Elizaveta Levina , Peter J. Bickel
David Slater , Glenn Healey
Mongi A. Abidi , Yiyong Sun
Chengjun Liu , Harry Wechsler
Santanu Chaudhury , Sumantra Dutta Roy
Subhashis Banerjee , Sumantra Dutta Roy
Santanu Chaudhury , Subhashis Banerjee
Guodong Guo , HongJiang Zhang
Guodong Guo , Stan Z. Li
HongJiang Zhang , Stan Z. Li
Nebojsa Jojic , Patrice Simard
Brendan J. Frey , Nebojsa Jojic
David Heckerman , Nebojsa Jojic
Brendan J. Frey , Patrice Simard
David Heckerman , Patrice Simard
Brendan J. Frey , David Heckerman
Stan Z. Li , XiaoGuang Lv
HongJiang Zhang , Stan Z. Li
HongJiang Zhang , XiaoGuang Lv
Ken-ichi Kanatani , Yasushi Kanazawa
Hankyu Moon , Rama Chellappa
Azriel Rosenfeld , Hankyu Moon
Azriel Rosenfeld , Rama Chellappa
Roberto Cipolla , Tom Drummond
David J. Fleet , Kiam Choo
Taeone Kim , Yongduek Seo
Ki-Sang Hong , Taeone Kim
Ki-Sang Hong , Yongduek Seo
Xavier Binefa , Xavier Orriols
David J. Hirvonen , Richard P. Wildes
Richard P. Wildes , Steven C. Hsu
Rakesh Kumar , Richard P. Wildes
Richard P. Wildes , W. Brian Lehman
Bogdan Matei , Richard P. Wildes
Richard P. Wildes , Wen-Yi Zhao
David J. Hirvonen , Steven C. Hsu
David J. Hirvonen , Rakesh Kumar
David J. Hirvonen , W. Brian Lehman
Bogdan Matei , David J. Hirvonen
David J. Hirvonen , Wen-Yi Zhao
Rakesh Kumar , Steven C. Hsu
Steven C. Hsu , W. Brian Lehman
Bogdan Matei , Steven C. Hsu
Steven C. Hsu , Wen-Yi Zhao
Rakesh Kumar , W. Brian Lehman
Bogdan Matei , Rakesh Kumar
Rakesh Kumar , Wen-Yi Zhao
Bogdan Matei , W. Brian Lehman
W. Brian Lehman , Wen-Yi Zhao
Bogdan Matei , Wen-Yi Zhao
Madirakshi Das , R. Manmatha
Olaf A. Hall-Holt , Szymon Rusinkiewicz
Michael S. Brown , W. Brent Seales
Alan L. Yuille , James M. Coughlan
Alan L. Yuille , Scott Konishi
James M. Coughlan , Scott Konishi
David W. Jacobs , Ronen Basri
David J. Kriegman , Sebastian Magda
Sebastian Magda , Todd Zickler
Peter N. Belhumeur , Sebastian Magda
David J. Kriegman , Todd Zickler
David J. Kriegman , Peter N. Belhumeur
Peter N. Belhumeur , Todd Zickler
David A. Forsyth , Kobus Barnard
Charless Fowlkes , David R. Martin
David R. Martin , Doron Tal
David R. Martin , Jitendra Malik
Charless Fowlkes , Doron Tal
Charless Fowlkes , Jitendra Malik
Doron Tal , Jitendra Malik
John Y. Lin , Ying Wu
Thomas S. Huang , Ying Wu
John Y. Lin , Thomas S. Huang
Hong Chen , Ying-Qing Xu
Heung-Yeung Shum , Hong Chen
Hong Chen , Song Chun Zhu
Hong Chen , Nanning Zheng
Heung-Yeung Shum , Ying-Qing Xu
Song Chun Zhu , Ying-Qing Xu
Nanning Zheng , Ying-Qing Xu
Heung-Yeung Shum , Song Chun Zhu
Heung-Yeung Shum , Nanning Zheng
Nanning Zheng , Song Chun Zhu
Gianfranco Doretto , Stefano Soatto
Stefano Soatto , Ying Nian Wu
Gianfranco Doretto , Ying Nian Wu
Glenn Healey , Pei-hsiu Suen
David Slater , Pei-hsiu Suen
David Slater , Glenn Healey
Graham D. Finlayson , Mark S. Drew
Arjan Kuijper , Luc Florack
David A. Casta&ntilde;on , Haihua Feng
Haihua Feng , William Clement Karl
David A. Casta&ntilde;on , William Clement Karl
Anbumani Subramanian , Lakshmi R. Iyer
A. Lynn Abbott , Anbumani Subramanian
Amy E. Bell , Anbumani Subramanian
A. Lynn Abbott , Lakshmi R. Iyer
Amy E. Bell , Lakshmi R. Iyer
A. Lynn Abbott , Amy E. Bell
Ramin Zabih , Vladimir Kolmogorov
Shree K. Nayar , Toshifumi Honda
Andrew Blake , Patrick P&eacute;rez
Michel Gangnet , Patrick P&eacute;rez
Andrew Blake , Michel Gangnet
Omar Javed , Zeeshan Rasheed
Mubarak Shah , Omar Javed
Mubarak Shah , Zeeshan Rasheed
Il-Kyun Jung , Simon Lacroix
Fr&eacute;d&eacute;ric Jurie , Michel Dhome
Jane Mulligan , Volkan Isler
Jane Mulligan , Konstantinos Daniilidis
Konstantinos Daniilidis , Volkan Isler
Anders Heyden , Fredrik Kahl
Bogdan Georgescu , Bogdan Matei
Bogdan Matei , Peter Meer
Bogdan Georgescu , Peter Meer
Amnon Shashua , Anat Levin
Maria Petrou , Svetlana Barsky
Greg Turk , Huong Quynh Dinh
Gregory G. Slabaugh , Huong Quynh Dinh
Greg Turk , Gregory G. Slabaugh
Gang Qian , Rama Chellappa
David A. Forsyth , John A. Haddon
David Demirdjian , Trevor Darrell
Neal Checka , Trevor Darrell
Pedro F. Felzenszwalb , Trevor Darrell
David Demirdjian , Neal Checka
David Demirdjian , Pedro F. Felzenszwalb
Neal Checka , Pedro F. Felzenszwalb
Andrew Zisserman , Frederik Schaffalitzky
Ying Shan , Zicheng Liu
Ying Shan , Zhengyou Zhang
Zhengyou Zhang , Zicheng Liu
Hajime Miyaki , Yasuhiro Mukaigawa
Sadahiko Mihashi , Yasuhiro Mukaigawa
Takeshi Shakunaga , Yasuhiro Mukaigawa
Hajime Miyaki , Sadahiko Mihashi
Hajime Miyaki , Takeshi Shakunaga
Sadahiko Mihashi , Takeshi Shakunaga
Am&acirc;ncio Santos , Paulo D. Carvalho
Ant&oacute;nio Dourado , Paulo D. Carvalho
Bernardete Ribeiro , Paulo D. Carvalho
Am&acirc;ncio Santos , Ant&oacute;nio Dourado
Am&acirc;ncio Santos , Bernardete Ribeiro
Ant&oacute;nio Dourado , Bernardete Ribeiro
Daniel Keren , Margarita Osadchy
QingDong Fu , Stan Z. Li
Lie Gu , Stan Z. Li
Bernhard Sch&ouml;lkopf , Stan Z. Li
Stan Z. Li , Yimin Cheng
HongJiang Zhang , Stan Z. Li
Lie Gu , QingDong Fu
Bernhard Sch&ouml;lkopf , QingDong Fu
QingDong Fu , Yimin Cheng
HongJiang Zhang , QingDong Fu
Bernhard Sch&ouml;lkopf , Lie Gu
Lie Gu , Yimin Cheng
HongJiang Zhang , Lie Gu
Bernhard Sch&ouml;lkopf , Yimin Cheng
Bernhard Sch&ouml;lkopf , HongJiang Zhang
HongJiang Zhang , Yimin Cheng
Anil K. Jain , Sarat C. Dass
Bernd Heisele , Purdy Ho
Bernd Heisele , Tomaso Poggio
Purdy Ho , Tomaso Poggio
Philip H. S. Torr , Sami Romdhani
Bernhard Sch&ouml;lkopf , Sami Romdhani
Andrew Blake , Sami Romdhani
Bernhard Sch&ouml;lkopf , Philip H. S. Torr
Andrew Blake , Philip H. S. Torr
Andrew Blake , Bernhard Sch&ouml;lkopf
Jean-Yves Bouguet , Salih Burak G&ouml;kt&uuml;rk
Radek Grzeszczuk , Salih Burak G&ouml;kt&uuml;rk
Jean-Yves Bouguet , Radek Grzeszczuk
Hedvig Sidenbladh , Michael J. Black
Hwann-Tzong Chen , Tyng-Luh Liu
Allen R. Hanson , Zhigang Zhu
Ioannis Stamos , Peter K. Allen
Gang Xu , Takahisa Nakayama
Gang Xu , Takeshi Kajikawa
Gang Xu , Jun-ichi Terai
Takahisa Nakayama , Takeshi Kajikawa
Jun-ichi Terai , Takahisa Nakayama
Jun-ichi Terai , Takeshi Kajikawa
Avraham Levy , Michael Lindenbaum
Jim R. Parker , Juraj Pivovarov
Marie-Pierre Jolly , Yuri Boykov
Jeffrey E. Boyd , Maxwell Sayles
Hongming Zhang , Jun Miao
Jun Miao , Wen Gao
Gang Deng , Jun Miao
Hong Liu , Jun Miao
Jun Miao , Xilin Chen
Hongming Zhang , Wen Gao
Gang Deng , Hongming Zhang
Hong Liu , Hongming Zhang
Hongming Zhang , Xilin Chen
Gang Deng , Wen Gao
Hong Liu , Wen Gao
Wen Gao , Xilin Chen
Gang Deng , Hong Liu
Gang Deng , Xilin Chen
Hong Liu , Xilin Chen
Agust&iacute;n Trujillo-Pino , Karl Krissian
Zhengyou Zhang , Zicheng Liu
Dennis Adler , Zhengyou Zhang
Michael F. Cohen , Zhengyou Zhang
Erik Hanson , Zhengyou Zhang
Ying Shan , Zhengyou Zhang
Dennis Adler , Zicheng Liu
Michael F. Cohen , Zicheng Liu
Erik Hanson , Zicheng Liu
Ying Shan , Zicheng Liu
Dennis Adler , Michael F. Cohen
Dennis Adler , Erik Hanson
Dennis Adler , Ying Shan
Erik Hanson , Michael F. Cohen
Michael F. Cohen , Ying Shan
Erik Hanson , Ying Shan
Hiroki Watanabe , Hitoshi Hongo
Hiroki Watanabe , Mamoru Yasumoto
Hiroki Watanabe , Yoshinori Niwa
Hiroki Watanabe , Kazuhiko Yamamoto
Hitoshi Hongo , Mamoru Yasumoto
Hitoshi Hongo , Yoshinori Niwa
Hitoshi Hongo , Kazuhiko Yamamoto
Mamoru Yasumoto , Yoshinori Niwa
Kazuhiko Yamamoto , Mamoru Yasumoto
Kazuhiko Yamamoto , Yoshinori Niwa
Michael J. Jones , Paul A. Viola
Rahul Sukthankar , Tat-Jen Cham
Gita Sukthankar , Rahul Sukthankar
James M. Rehg , Rahul Sukthankar
David Hsu , Rahul Sukthankar
Rahul Sukthankar , Thomas Leung
Gita Sukthankar , Tat-Jen Cham
James M. Rehg , Tat-Jen Cham
David Hsu , Tat-Jen Cham
Tat-Jen Cham , Thomas Leung
Gita Sukthankar , James M. Rehg
David Hsu , Gita Sukthankar
Gita Sukthankar , Thomas Leung
David Hsu , James M. Rehg
James M. Rehg , Thomas Leung
David Hsu , Thomas Leung
Hailin Jin , Paolo Favaro
Paolo Favaro , Stefano Soatto
Hailin Jin , Stefano Soatto
Jianbo Shi , Naoya Takao
Naoya Takao , Simon Baker
Iain Matthews , Naoya Takao
Bart C. Nabbe , Naoya Takao
Jianbo Shi , Simon Baker
Iain Matthews , Jianbo Shi
Bart C. Nabbe , Jianbo Shi
Iain Matthews , Simon Baker
Bart C. Nabbe , Simon Baker
Bart C. Nabbe , Iain Matthews
David J. Bullock , John S. Zelek
Christos Faloutsos , Zhiqiang Bi
Flip Korn , Zhiqiang Bi
Christos Faloutsos , Flip Korn
Andreas Buja , Yung-Seop Lee
Igor V. Cadez , Padhraic Smyth
Heikki Mannila , Igor V. Cadez
Heikki Mannila , Padhraic Smyth
Bernhard Seeger , Jens-Peter Dittrich
Matthew Richardson , Pedro Domingos
Daryl Pregibon , William DuMouchel
Glenn Fung , Olvi L. Mangasarian
Jochen Garcke , Michael Griebel
Geoff Hulten , Laurie Spencer
Geoff Hulten , Pedro Domingos
Laurie Spencer , Pedro Domingos
Eamonn J. Keogh , Selina Chu
Eamonn J. Keogh , Michael J. Pazzani
Michael J. Pazzani , Selina Chu
Edwin M. Knorr , Raymond T. Ng
Edwin M. Knorr , Ruben H. Zamar
Raymond T. Ng , Ruben H. Zamar
Luc De Raedt , Stefan Kramer
Christoph Helma , Stefan Kramer
Christoph Helma , Luc De Raedt
Bing Liu , Yiming Ma
Bing Liu , Philip S. Yu
Philip S. Yu , Yiming Ma
Balaji Padmanabhan , Zhiqiang Zheng
Balaji Padmanabhan , Steven Orla Kimbrough
Steven Orla Kimbrough , Zhiqiang Zheng
Dmitry Pavlov , Padhraic Smyth
David M. Pennock , Steve Lawrence
David M. Pennock , Finn &Aring;rup Nielsen
C. Lee Giles , David M. Pennock
Finn &Aring;rup Nielsen , Steve Lawrence
C. Lee Giles , Steve Lawrence
C. Lee Giles , Finn &Aring;rup Nielsen
Agma J. M. Traina , Caetano Traina Jr.
Agma J. M. Traina , Spiros Papadimitriou
Agma J. M. Traina , Christos Faloutsos
Caetano Traina Jr. , Spiros Papadimitriou
Caetano Traina Jr. , Christos Faloutsos
Christos Faloutsos , Spiros Papadimitriou
Cheng Yang , Usama M. Fayyad
Cheng Yang , Paul S. Bradley
Paul S. Bradley , Usama M. Fayyad
Bianca Zadrozny , Charles Elkan
Peter B. Musgrove , Richard Adderley
Charu C. Aggarwal , Srinivasan Parthasarathy
Raymond J. Mooney , Sugato Basu
Krupakar V. Pasupuleti , Sugato Basu
Joydeep Ghosh , Sugato Basu
Krupakar V. Pasupuleti , Raymond J. Mooney
Joydeep Ghosh , Raymond J. Mooney
Joydeep Ghosh , Krupakar V. Pasupuleti
Alina Beygelzimer , Chang-Shing Perng
Alina Beygelzimer , Sheng Ma
Chang-Shing Perng , Sheng Ma
Ella Bingham , Heikki Mannila
Dianne Cook , Doina Caragea
Doina Caragea , Vasant Honavar
Dianne Cook , Vasant Honavar
Chien Chin Chen , Meng Chang Chen
Chien Chin Chen , Yeali S. Sun
Meng Chang Chen , Yeali S. Sun
DongPing Fang , Tom Chiu
John Chen , Tom Chiu
Tom Chiu , Yao Wang
Christopher Jeris , Tom Chiu
DongPing Fang , John Chen
DongPing Fang , Yao Wang
Christopher Jeris , DongPing Fang
John Chen , Yao Wang
Christopher Jeris , John Chen
Christopher Jeris , Yao Wang
Chris H. Q. Ding , Xiaofeng He
Chris H. Q. Ding , Hongyuan Zha
Hongyuan Zha , Xiaofeng He
David Harel , Yehuda Koren
Nitin Indurkhya , Sholom M. Weiss
Anthony K. H. Tung , Wen Jin
Jiawei Han , Wen Jin
