Anthony D. Worrall , Arthur E. C. Pece
Bill Yuan-chi Chiu , Eamonn J. Keogh
Bill Yuan-chi Chiu , Stefano Lonardi
Mahesh Kumar , Nitin R. Patel
Jonathan Woo , Mahesh Kumar
Jonathan Woo , Nitin R. Patel
Jiuyong Li , Rodney W. Topor
Hong Shen , Jiuyong Li
Hong Shen , Rodney W. Topor
Geneva G. Belford , Ruey-Hsia Li
Chang-Hung Lee , Cheng-Ru Lin
Cheng-Ru Lin , Ming-Syan Chen
Cheng-Ru Lin , Philip S. Yu
Chang-Hung Lee , Ming-Syan Chen
Chang-Hung Lee , Philip S. Yu
Ming-Syan Chen , Philip S. Yu
Cheng-Ru Lin , Ming-Syan Chen
Jan-Ming Ho , Shian-Hua Lin
Bertis B. Little , Walter L. Johnston
Ashley C. Lovell , Bertis B. Little
Bertis B. Little , Roderick M. Rejesus
Bertis B. Little , Steve A. Steed
Ashley C. Lovell , Walter L. Johnston
Roderick M. Rejesus , Walter L. Johnston
Steve A. Steed , Walter L. Johnston
Ashley C. Lovell , Roderick M. Rejesus
Ashley C. Lovell , Steve A. Steed
Roderick M. Rejesus , Steve A. Steed
Rey-Long Liu , Yun-Ling Lu
Dekang Lin , Patrick Pantel
Bhavani Raskutti , Herman L. Ferr&aacute;
Adam Kowalczyk , Bhavani Raskutti
Adam Kowalczyk , Herman L. Ferr&aacute;
Kazumi Saito , Naonori Ueda
Robert Krovetz , Secil Ugurel
C. Lee Giles , Secil Ugurel
C. Lee Giles , Robert Krovetz
Chris Clifton , Jaideep Vaidya
Carlotta Domeniconi , Michail Vlachos
Dimitrios Gunopulos , Michail Vlachos
George Kollios , Michail Vlachos
Michail Vlachos , Nick Koudas
Carlotta Domeniconi , Dimitrios Gunopulos
Carlotta Domeniconi , George Kollios
Carlotta Domeniconi , Nick Koudas
Dimitrios Gunopulos , George Kollios
Dimitrios Gunopulos , Nick Koudas
George Kollios , Nick Koudas
Ke Wang , Ming-Yen Thomas Su
Moustafa Ghanem , Vasa Curcin
Vasa Curcin , Yike Guo
Martin K&ouml;hler , Vasa Curcin
Anthony Rowe , Vasa Curcin
Jameel Syed , Vasa Curcin
Patrick Wendel , Vasa Curcin
Moustafa Ghanem , Yike Guo
Martin K&ouml;hler , Moustafa Ghanem
Anthony Rowe , Moustafa Ghanem
Jameel Syed , Moustafa Ghanem
Moustafa Ghanem , Patrick Wendel
Martin K&ouml;hler , Yike Guo
Anthony Rowe , Yike Guo
Jameel Syed , Yike Guo
Patrick Wendel , Yike Guo
Anthony Rowe , Martin K&ouml;hler
Jameel Syed , Martin K&ouml;hler
Martin K&ouml;hler , Patrick Wendel
Anthony Rowe , Jameel Syed
Anthony Rowe , Patrick Wendel
Jameel Syed , Patrick Wendel
Christos Faloutsos , Leejay Wu
Jianping Fan , Xintao Wu
Kalpathi R. Subramanian , Xintao Wu
Jianping Fan , Kalpathi R. Subramanian
Jun-ichi Takeuchi , Kenji Yamanishi
Xudong Guan , Yiling Yang
Jinyuan You , Yiling Yang
Jinyuan You , Xudong Guan
Jian Zhang , Yiming Yang
Jaime G. Carbonell , Yiming Yang
Chun Jin , Yiming Yang
Jaime G. Carbonell , Jian Zhang
Chun Jin , Jian Zhang
Chun Jin , Jaime G. Carbonell
Bianca Zadrozny , Charles Elkan
Sanjay Agrawal , Surajit Chaudhuri
Gautam Das , Sanjay Agrawal
Gautam Das , Surajit Chaudhuri
Ahmed K. Elmagarmid , Mohamed G. Elfeky
Mohamed G. Elfeky , Vassilios S. Verykios
Ahmed K. Elmagarmid , Vassilios S. Verykios
Hakan Hacig&uuml;m&uuml;s , Sharad Mehrotra
Balakrishna R. Iyer , Hakan Hacig&uuml;m&uuml;s
Balakrishna R. Iyer , Sharad Mehrotra
Gregory Cobena , Serge Abiteboul
Am&eacute;lie Marian , Gregory Cobena
Am&eacute;lie Marian , Serge Abiteboul
Christina Yip Chung , Michael Gertz
Christina Yip Chung , Neel Sundaresan
Michael Gertz , Neel Sundaresan
Juliana Freire , Philip Bohannon
Philip Bohannon , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Philip Bohannon
Juliana Freire , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Juliana Freire
J&eacute;r&ocirc;me Sim&eacute;on , Prasan Roy
Joseph Dunn , Sean Davey
Anne Descour , Joseph Dunn
Joseph Dunn , Richard T. Snodgrass
Anne Descour , Sean Davey
Richard T. Snodgrass , Sean Davey
Anne Descour , Richard T. Snodgrass
Chengyu Sun , Divyakant Agrawal
Amr El Abbadi , Chengyu Sun
Amr El Abbadi , Divyakant Agrawal
Donghui Zhang , Vassilis J. Tsotras
Bernhard Seeger , Donghui Zhang
Bernhard Seeger , Vassilis J. Tsotras
Hector Garcia-Molina , Sergey Melnik
Erhard Rahm , Sergey Melnik
Erhard Rahm , Hector Garcia-Molina
Pradeep Shenoy , Raghav Kaushik
Philip Bohannon , Raghav Kaushik
Ehud Gudes , Raghav Kaushik
Philip Bohannon , Pradeep Shenoy
Ehud Gudes , Pradeep Shenoy
Ehud Gudes , Philip Bohannon
H. V. Jagadish , Shurug Al-Khalifa
Jignesh M. Patel , Shurug Al-Khalifa
Shurug Al-Khalifa , Yuqing Wu
Nick Koudas , Shurug Al-Khalifa
Divesh Srivastava , Shurug Al-Khalifa
H. V. Jagadish , Jignesh M. Patel
H. V. Jagadish , Yuqing Wu
H. V. Jagadish , Nick Koudas
Divesh Srivastava , H. V. Jagadish
Jignesh M. Patel , Yuqing Wu
Jignesh M. Patel , Nick Koudas
Divesh Srivastava , Jignesh M. Patel
Nick Koudas , Yuqing Wu
Divesh Srivastava , Yuqing Wu
Divesh Srivastava , Nick Koudas
Hongjun Lu , Wei Wang
Jianlin Feng , Wei Wang
Jeffrey Xu Yu , Wei Wang
Hongjun Lu , Jianlin Feng
Hongjun Lu , Jeffrey Xu Yu
Jeffrey Xu Yu , Jianlin Feng
Dimitris Papadias , Yufei Tao
Dimitris Papadias , Panos Kalnis
Dimitris Papadias , Jun Zhang
Panos Kalnis , Yufei Tao
Jun Zhang , Yufei Tao
Jun Zhang , Panos Kalnis
Wolfgang H&uuml;mmer , Wolfgang Lehner
Lutz Schlesinger , Wolfgang Lehner
Lutz Schlesinger , Wolfgang H&uuml;mmer
Karl Aberer , Manfred Hauswirth
Dimitris Papadias , Yufei Tao
Jun Zhang , Yufei Tao
Dimitris Papadias , Jun Zhang
Anton Faradjian , Johannes Gehrke
Anton Faradjian , Philippe Bonnet
Johannes Gehrke , Philippe Bonnet
Ivan Popivanov , Ren&eacute;e J. Miller
Jayant R. Haritsa , Pankaj M. Tolani
Chee Yong Chan , Pascal Felber
Chee Yong Chan , Minos N. Garofalakis
Chee Yong Chan , Rajeev Rastogi
Minos N. Garofalakis , Pascal Felber
Pascal Felber , Rajeev Rastogi
Minos N. Garofalakis , Rajeev Rastogi
Pratik Mukhopadhyay , Yannis Papakonstantinou
Michael H. B&ouml;hlen , Michael O. Akinde
Michael O. Akinde , Theodore Johnson
Laks V. S. Lakshmanan , Michael O. Akinde
Divesh Srivastava , Michael O. Akinde
Michael H. B&ouml;hlen , Theodore Johnson
Laks V. S. Lakshmanan , Michael H. B&ouml;hlen
Divesh Srivastava , Michael H. B&ouml;hlen
Laks V. S. Lakshmanan , Theodore Johnson
Divesh Srivastava , Theodore Johnson
Divesh Srivastava , Laks V. S. Lakshmanan
Bin Chen , Peter J. Haas
Bin Chen , Peter Scheuermann
Peter J. Haas , Peter Scheuermann
Filippo Furfaro , Sergio Flesca
Sergio Flesca , Sergio Greco
Filippo Furfaro , Sergio Greco
Chris Jermaine , Edward Omiecinski
Chris Jermaine , Wai Gen Yee
Edward Omiecinski , Wai Gen Yee
Ambuj K. Singh , Tamer Kahveci
Aliekber G&uuml;rel , Tamer Kahveci
Aliekber G&uuml;rel , Ambuj K. Singh
Dongwon Lee , Murali Mani
Dongwon Lee , Frank Chiu
Dongwon Lee , Wesley W. Chu
Frank Chiu , Murali Mani
Murali Mani , Wesley W. Chu
Frank Chiu , Wesley W. Chu
Bing Liu , Jing Liu
Wai Lup Low , Wee Hyong Tok
Mong-Li Lee , Wai Lup Low
Tok Wang Ling , Wai Lup Low
Mong-Li Lee , Wee Hyong Tok
Tok Wang Ling , Wee Hyong Tok
Mong-Li Lee , Tok Wang Ling
Mutsumi Nakamura , Ramez Elmasri
Ching-Tien Ho , Felix Naumann
Felix Naumann , Xuqing Tian
Felix Naumann , Laura M. Haas
Felix Naumann , Nimrod Megiddo
Ching-Tien Ho , Xuqing Tian
Ching-Tien Ho , Laura M. Haas
Ching-Tien Ho , Nimrod Megiddo
Laura M. Haas , Xuqing Tian
Nimrod Megiddo , Xuqing Tian
Laura M. Haas , Nimrod Megiddo
Beng Chin Ooi , Wee Siong Ng
Kian-Lee Tan , Wee Siong Ng
Beng Chin Ooi , Kian-Lee Tan
Ada Wai-Chee Fu , Eric Ka Ka Ng
Divyakant Agrawal , Kevin O'Gorman
Amr El Abbadi , Kevin O'Gorman
Amr El Abbadi , Divyakant Agrawal
Masaru Kitsuregawa , Masato Oguchi
Jayant R. Haritsa , Vikram Pudi
Eike Schallehn , Kai-Uwe Sattler
Eike Schallehn , Gunter Saake
Gunter Saake , Kai-Uwe Sattler
Christian S. Jensen , Janne Skyt
Janne Skyt , Torben Bach Pedersen
Christian S. Jensen , Torben Bach Pedersen
David Maier , Peter A. Tucker
Carlo Zaniolo , Haixun Wang
Jiong Yang , Wei Wang
Fabio Casati , Mehmet Sayal
Mehmet Sayal , Umeshwar Dayal
Mehmet Sayal , Ming-Chien Shan
Fabio Casati , Umeshwar Dayal
Fabio Casati , Ming-Chien Shan
Ming-Chien Shan , Umeshwar Dayal
Boualem Benatallah , Quan Z. Sheng
Anne H. H. Ngu , Boualem Benatallah
Boualem Benatallah , Marlon Dumas
Anne H. H. Ngu , Quan Z. Sheng
Marlon Dumas , Quan Z. Sheng
Anne H. H. Ngu , Marlon Dumas
Alexander Kreutz , Markus Keidl
Alfons Kemper , Markus Keidl
Donald Kossmann , Markus Keidl
Alexander Kreutz , Alfons Kemper
Alexander Kreutz , Donald Kossmann
Alfons Kemper , Donald Kossmann
Mary F. Fern&aacute;ndez , Sihem Amer-Yahia
Twee-Hee Ong , Wee Hyong Tok
Wai Lup Low , Wee Hyong Tok
Indriyati Atmosukarto , Wee Hyong Tok
St&eacute;phane Bressan , Wee Hyong Tok
Twee-Hee Ong , Wai Lup Low
Indriyati Atmosukarto , Twee-Hee Ong
St&eacute;phane Bressan , Twee-Hee Ong
Indriyati Atmosukarto , Wai Lup Low
St&eacute;phane Bressan , Wai Lup Low
Indriyati Atmosukarto , St&eacute;phane Bressan
Ken Barker , Ramon Lawrence
Hongjun Lu , Xiaofeng Meng
Haiyan Wang , Xiaofeng Meng
Mingzhe Gu , Xiaofeng Meng
Haiyan Wang , Hongjun Lu
Hongjun Lu , Mingzhe Gu
Haiyan Wang , Mingzhe Gu
Omran A. Bukhres , Srinivasan Sikkupparbathyam
Kishan Nagendra , Omran A. Bukhres
Omran A. Bukhres , Zina Ben-Miled
Marcelo Areal , Omran A. Bukhres
Lola Olsen , Omran A. Bukhres
Chris Gokey , Omran A. Bukhres
David Kendig , Omran A. Bukhres
Omran A. Bukhres , Rosy Cordova
Gene Major , Omran A. Bukhres
Janine Savage , Omran A. Bukhres
Kishan Nagendra , Srinivasan Sikkupparbathyam
Srinivasan Sikkupparbathyam , Zina Ben-Miled
Marcelo Areal , Srinivasan Sikkupparbathyam
Lola Olsen , Srinivasan Sikkupparbathyam
Chris Gokey , Srinivasan Sikkupparbathyam
David Kendig , Srinivasan Sikkupparbathyam
Rosy Cordova , Srinivasan Sikkupparbathyam
Gene Major , Srinivasan Sikkupparbathyam
Janine Savage , Srinivasan Sikkupparbathyam
Kishan Nagendra , Zina Ben-Miled
Kishan Nagendra , Marcelo Areal
Kishan Nagendra , Lola Olsen
Chris Gokey , Kishan Nagendra
David Kendig , Kishan Nagendra
Kishan Nagendra , Rosy Cordova
Gene Major , Kishan Nagendra
Janine Savage , Kishan Nagendra
Marcelo Areal , Zina Ben-Miled
Lola Olsen , Zina Ben-Miled
Chris Gokey , Zina Ben-Miled
David Kendig , Zina Ben-Miled
Rosy Cordova , Zina Ben-Miled
Gene Major , Zina Ben-Miled
Janine Savage , Zina Ben-Miled
Lola Olsen , Marcelo Areal
Chris Gokey , Marcelo Areal
David Kendig , Marcelo Areal
Marcelo Areal , Rosy Cordova
Gene Major , Marcelo Areal
Janine Savage , Marcelo Areal
Chris Gokey , Lola Olsen
David Kendig , Lola Olsen
Lola Olsen , Rosy Cordova
Gene Major , Lola Olsen
Janine Savage , Lola Olsen
Chris Gokey , David Kendig
Chris Gokey , Rosy Cordova
Chris Gokey , Gene Major
Chris Gokey , Janine Savage
David Kendig , Rosy Cordova
David Kendig , Gene Major
David Kendig , Janine Savage
Gene Major , Rosy Cordova
Janine Savage , Rosy Cordova
Gene Major , Janine Savage
Haifeng Jiang , Hongjun Lu
Haifeng Jiang , Wei Wang
Haifeng Jiang , Jeffrey Xu Yu
Hongjun Lu , Wei Wang
Hongjun Lu , Jeffrey Xu Yu
Jeffrey Xu Yu , Wei Wang
Sergej Sizov , Stefan Siersdorfer
Martin Theobald , Sergej Sizov
Gerhard Weikum , Sergej Sizov
Martin Theobald , Stefan Siersdorfer
Gerhard Weikum , Stefan Siersdorfer
Gerhard Weikum , Martin Theobald
Avigdor Gal , Vijayalakshmi Atluri
Avigdor Gal , Gang Xu
Gang Xu , Vijayalakshmi Atluri
Peter M. Fischer , Yanlei Diao
Michael J. Franklin , Yanlei Diao
Raymond To , Yanlei Diao
Michael J. Franklin , Peter M. Fischer
Peter M. Fischer , Raymond To
Michael J. Franklin , Raymond To
David J. DeWitt , Jianjun Chen
Jeffrey F. Naughton , Jianjun Chen
David J. DeWitt , Jeffrey F. Naughton
Torsten Suel , Vladislav Shkapenyuk
Luis Gravano , Nicolas Bruno
Am&eacute;lie Marian , Nicolas Bruno
Am&eacute;lie Marian , Luis Gravano
Cheng-Yue Chang , Ming-Syan Chen
Alon Y. Halevy , AnHai Doan
Angela Bonifati , Daniele Braga
Alessandro Campi , Angela Bonifati
Angela Bonifati , Stefano Ceri
Alessandro Campi , Daniele Braga
Daniele Braga , Stefano Ceri
Alessandro Campi , Stefano Ceri
Junghoo Cho , Sridhar Rajagopalan
Arvind Hulgeri , Gaurav Bhalotia
Charuta Nakhe , Gaurav Bhalotia
Gaurav Bhalotia , Soumen Chakrabarti
Gaurav Bhalotia , S. Sudarshan
Arvind Hulgeri , Charuta Nakhe
Arvind Hulgeri , Soumen Chakrabarti
Arvind Hulgeri , S. Sudarshan
Charuta Nakhe , Soumen Chakrabarti
Charuta Nakhe , S. Sudarshan
S. Sudarshan , Soumen Chakrabarti
Ioannis Fudos , Leonidas Palios
Evaggelia Pitoura , Ioannis Fudos
Evaggelia Pitoura , Leonidas Palios
Beng Chin Ooi , Bin Lan
Bin Lan , Kian-Lee Tan
Beng Chin Ooi , Kian-Lee Tan
Christian S. Jensen , Simonas Saltenis
Ashish Goel , Cyrus Shahabi
Ashish Goel , Shu-Yuen Didi Yao
Ashish Goel , Roger Zimmermann
Cyrus Shahabi , Shu-Yuen Didi Yao
Cyrus Shahabi , Roger Zimmermann
Roger Zimmermann , Shu-Yuen Didi Yao
Anne H. H. Ngu , Dimitrios Georgakopoulos
Anne H. H. Ngu , Donald Baker
Andrzej Cichocki , Anne H. H. Ngu
Anne H. H. Ngu , Joseph Desmarais
Anne H. H. Ngu , Peter Bates
Dimitrios Georgakopoulos , Donald Baker
Andrzej Cichocki , Dimitrios Georgakopoulos
Dimitrios Georgakopoulos , Joseph Desmarais
Dimitrios Georgakopoulos , Peter Bates
Andrzej Cichocki , Donald Baker
Donald Baker , Joseph Desmarais
Donald Baker , Peter Bates
Andrzej Cichocki , Joseph Desmarais
Andrzej Cichocki , Peter Bates
Joseph Desmarais , Peter Bates
Sichun Xu , Yuhui Jin
Stefan Decker , Yuhui Jin
Gio Wiederhold , Yuhui Jin
Sichun Xu , Stefan Decker
Gio Wiederhold , Sichun Xu
Gio Wiederhold , Stefan Decker
Ann Christine Catlin , Walid G. Aref
Ahmed K. Elmagarmid , Walid G. Aref
Jianping Fan , Walid G. Aref
J. Guo , Walid G. Aref
Moustafa A. Hammad , Walid G. Aref
Ihab F. Ilyas , Walid G. Aref
Mirette S. Marzouk , Walid G. Aref
Sunil Prabhakar , Walid G. Aref
Abdelmounaam Rezgui , Walid G. Aref
S. Teoh , Walid G. Aref
Evimaria Terzi , Walid G. Aref
Walid G. Aref , Yi-Cheng Tu
Athena Vakali , Walid G. Aref
Walid G. Aref , Xingquan Zhu
Ahmed K. Elmagarmid , Ann Christine Catlin
Ann Christine Catlin , Jianping Fan
Ann Christine Catlin , J. Guo
Ann Christine Catlin , Moustafa A. Hammad
Ann Christine Catlin , Ihab F. Ilyas
Ann Christine Catlin , Mirette S. Marzouk
Ann Christine Catlin , Sunil Prabhakar
Abdelmounaam Rezgui , Ann Christine Catlin
Ann Christine Catlin , S. Teoh
Ann Christine Catlin , Evimaria Terzi
Ann Christine Catlin , Yi-Cheng Tu
Ann Christine Catlin , Athena Vakali
Ann Christine Catlin , Xingquan Zhu
Ahmed K. Elmagarmid , Jianping Fan
Ahmed K. Elmagarmid , J. Guo
Ahmed K. Elmagarmid , Moustafa A. Hammad
Ahmed K. Elmagarmid , Ihab F. Ilyas
Ahmed K. Elmagarmid , Mirette S. Marzouk
Ahmed K. Elmagarmid , Sunil Prabhakar
Abdelmounaam Rezgui , Ahmed K. Elmagarmid
Ahmed K. Elmagarmid , S. Teoh
Ahmed K. Elmagarmid , Evimaria Terzi
Ahmed K. Elmagarmid , Yi-Cheng Tu
Ahmed K. Elmagarmid , Athena Vakali
Ahmed K. Elmagarmid , Xingquan Zhu
J. Guo , Jianping Fan
Jianping Fan , Moustafa A. Hammad
Ihab F. Ilyas , Jianping Fan
Jianping Fan , Mirette S. Marzouk
Jianping Fan , Sunil Prabhakar
Abdelmounaam Rezgui , Jianping Fan
Jianping Fan , S. Teoh
Evimaria Terzi , Jianping Fan
Jianping Fan , Yi-Cheng Tu
Athena Vakali , Jianping Fan
Jianping Fan , Xingquan Zhu
J. Guo , Moustafa A. Hammad
Ihab F. Ilyas , J. Guo
J. Guo , Mirette S. Marzouk
J. Guo , Sunil Prabhakar
Abdelmounaam Rezgui , J. Guo
J. Guo , S. Teoh
Evimaria Terzi , J. Guo
J. Guo , Yi-Cheng Tu
Athena Vakali , J. Guo
J. Guo , Xingquan Zhu
Ihab F. Ilyas , Moustafa A. Hammad
Mirette S. Marzouk , Moustafa A. Hammad
Moustafa A. Hammad , Sunil Prabhakar
Abdelmounaam Rezgui , Moustafa A. Hammad
Moustafa A. Hammad , S. Teoh
Evimaria Terzi , Moustafa A. Hammad
Moustafa A. Hammad , Yi-Cheng Tu
Athena Vakali , Moustafa A. Hammad
Moustafa A. Hammad , Xingquan Zhu
Ihab F. Ilyas , Mirette S. Marzouk
Ihab F. Ilyas , Sunil Prabhakar
Abdelmounaam Rezgui , Ihab F. Ilyas
Ihab F. Ilyas , S. Teoh
Evimaria Terzi , Ihab F. Ilyas
Ihab F. Ilyas , Yi-Cheng Tu
Athena Vakali , Ihab F. Ilyas
Ihab F. Ilyas , Xingquan Zhu
Mirette S. Marzouk , Sunil Prabhakar
Abdelmounaam Rezgui , Mirette S. Marzouk
Mirette S. Marzouk , S. Teoh
Evimaria Terzi , Mirette S. Marzouk
Mirette S. Marzouk , Yi-Cheng Tu
Athena Vakali , Mirette S. Marzouk
Mirette S. Marzouk , Xingquan Zhu
Abdelmounaam Rezgui , Sunil Prabhakar
S. Teoh , Sunil Prabhakar
Evimaria Terzi , Sunil Prabhakar
Sunil Prabhakar , Yi-Cheng Tu
Athena Vakali , Sunil Prabhakar
Sunil Prabhakar , Xingquan Zhu
Abdelmounaam Rezgui , S. Teoh
Abdelmounaam Rezgui , Evimaria Terzi
Abdelmounaam Rezgui , Yi-Cheng Tu
Abdelmounaam Rezgui , Athena Vakali
Abdelmounaam Rezgui , Xingquan Zhu
Evimaria Terzi , S. Teoh
S. Teoh , Yi-Cheng Tu
Athena Vakali , S. Teoh
S. Teoh , Xingquan Zhu
Evimaria Terzi , Yi-Cheng Tu
Athena Vakali , Evimaria Terzi
Evimaria Terzi , Xingquan Zhu
Athena Vakali , Yi-Cheng Tu
Xingquan Zhu , Yi-Cheng Tu
Athena Vakali , Xingquan Zhu
Brian F. Cooper , Neal Sample
Michael J. Franklin , Neal Sample
G&iacute;sli R. Hjaltason , Neal Sample
Moshe Shadmon , Neal Sample
Levy Cohe , Neal Sample
Brian F. Cooper , Michael J. Franklin
Brian F. Cooper , G&iacute;sli R. Hjaltason
Brian F. Cooper , Moshe Shadmon
Brian F. Cooper , Levy Cohe
G&iacute;sli R. Hjaltason , Michael J. Franklin
Michael J. Franklin , Moshe Shadmon
Levy Cohe , Michael J. Franklin
G&iacute;sli R. Hjaltason , Moshe Shadmon
G&iacute;sli R. Hjaltason , Levy Cohe
Levy Cohe , Moshe Shadmon
Milan Petkovic , Roelof van Zwol
Henk Ernst Blok , Milan Petkovic
Milan Petkovic , Willem Jonker
Milan Petkovic , Peter M. G. Apers
Menzo Windhouwer , Milan Petkovic
Martin L. Kersten , Milan Petkovic
Henk Ernst Blok , Roelof van Zwol
Roelof van Zwol , Willem Jonker
Peter M. G. Apers , Roelof van Zwol
Menzo Windhouwer , Roelof van Zwol
Martin L. Kersten , Roelof van Zwol
Henk Ernst Blok , Willem Jonker
Henk Ernst Blok , Peter M. G. Apers
Henk Ernst Blok , Menzo Windhouwer
Henk Ernst Blok , Martin L. Kersten
Peter M. G. Apers , Willem Jonker
Menzo Windhouwer , Willem Jonker
Martin L. Kersten , Willem Jonker
Menzo Windhouwer , Peter M. G. Apers
Martin L. Kersten , Peter M. G. Apers
Martin L. Kersten , Menzo Windhouwer
Divyakant Agrawal , Hae Don Chon
Amr El Abbadi , Hae Don Chon
Amr El Abbadi , Divyakant Agrawal
Lucian Popa , Mauricio A. Hern&aacute;ndez
Mauricio A. Hern&aacute;ndez , Yannis Velegrakis
Mauricio A. Hern&aacute;ndez , Ren&eacute;e J. Miller
Felix Naumann , Mauricio A. Hern&aacute;ndez
Ching-Tien Ho , Mauricio A. Hern&aacute;ndez
Lucian Popa , Yannis Velegrakis
Lucian Popa , Ren&eacute;e J. Miller
Felix Naumann , Lucian Popa
Ching-Tien Ho , Lucian Popa
Ren&eacute;e J. Miller , Yannis Velegrakis
Felix Naumann , Yannis Velegrakis
Ching-Tien Ho , Yannis Velegrakis
Felix Naumann , Ren&eacute;e J. Miller
Ching-Tien Ho , Ren&eacute;e J. Miller
Ching-Tien Ho , Felix Naumann
Etzard Stolte , Gustavo Alonso
Mengzhi Wang , Ngai Hang Chan
Mengzhi Wang , Spiros Papadimitriou
Christos Faloutsos , Mengzhi Wang
Mengzhi Wang , Tara M. Madhyastha
Ngai Hang Chan , Spiros Papadimitriou
Christos Faloutsos , Ngai Hang Chan
Ngai Hang Chan , Tara M. Madhyastha
Christos Faloutsos , Spiros Papadimitriou
Spiros Papadimitriou , Tara M. Madhyastha
Christos Faloutsos , Tara M. Madhyastha
Jiong Yang , Wei Wang
Haixun Wang , Jiong Yang
Jiong Yang , Philip S. Yu
Haixun Wang , Wei Wang
Philip S. Yu , Wei Wang
Haixun Wang , Philip S. Yu
Surajit Chaudhuri , Vivek R. Narasayya
Sunita Sarawagi , Surajit Chaudhuri
Sunita Sarawagi , Vivek R. Narasayya
David B. Lomet , Roger S. Barga
Gerhard Weikum , Roger S. Barga
David B. Lomet , Gerhard Weikum
Michael J. Franklin , Samuel Madden
Nick Koudas , Sudipto Guha
Carson Kai-Sang Leung , Raymond T. Ng
Carson Kai-Sang Leung , Heikki Mannila
Heikki Mannila , Raymond T. Ng
Graham Cormode , Piotr Indyk
Graham Cormode , Nick Koudas
Graham Cormode , S. Muthukrishnan
Nick Koudas , Piotr Indyk
Piotr Indyk , S. Muthukrishnan
Nick Koudas , S. Muthukrishnan
Chung-Min Chen , Yibei Ling
Domenico Rosaci , Francesco Buccafurri
Francesco Buccafurri , Luigi Pontieri
Domenico Sacc&agrave; , Francesco Buccafurri
Domenico Rosaci , Luigi Pontieri
Domenico Rosaci , Domenico Sacc&agrave;
Domenico Sacc&agrave; , Luigi Pontieri
Divyakant Agrawal , Yi-Leh Wu
Amr El Abbadi , Yi-Leh Wu
Amr El Abbadi , Divyakant Agrawal
Chris Jermaine , Edward Omiecinski
Dimitrios Gunopulos , Michail Vlachos
George Kollios , Michail Vlachos
Dimitrios Gunopulos , George Kollios
Adam Meyerson , Liadan O'Callaghan
Liadan O'Callaghan , Rajeev Motwani
Liadan O'Callaghan , Nina Mishra
Liadan O'Callaghan , Sudipto Guha
Adam Meyerson , Rajeev Motwani
Adam Meyerson , Nina Mishra
Adam Meyerson , Sudipto Guha
Nina Mishra , Rajeev Motwani
Rajeev Motwani , Sudipto Guha
Nina Mishra , Sudipto Guha
Gang Luo , Jeffrey F. Naughton
Curt J. Ellmann , Gang Luo
Curt J. Ellmann , Jeffrey F. Naughton
Amol Deshpande , Joseph M. Hellerstein
Edwin P. D. Pednault , Naoki Abe
Haixun Wang , Naoki Abe
Bianca Zadrozny , Naoki Abe
Naoki Abe , Wei Fan
Chidanand Apt&eacute; , Naoki Abe
Edwin P. D. Pednault , Haixun Wang
Bianca Zadrozny , Edwin P. D. Pednault
Edwin P. D. Pednault , Wei Fan
Chidanand Apt&eacute; , Edwin P. D. Pednault
Bianca Zadrozny , Haixun Wang
Haixun Wang , Wei Fan
Chidanand Apt&eacute; , Haixun Wang
Bianca Zadrozny , Wei Fan
Bianca Zadrozny , Chidanand Apt&eacute;
Chidanand Apt&eacute; , Wei Fan
Olivier Y. de Vel , Tamas Abraham
Maria-Luiza Antonie , Osmar R. Za&iuml;ane
Hiroki Arimura , Tatsuya Asai
Kenji Abe , Tatsuya Asai
Shinji Kawasoe , Tatsuya Asai
Setsuo Arikawa , Tatsuya Asai
Hiroki Arimura , Kenji Abe
Hiroki Arimura , Shinji Kawasoe
Hiroki Arimura , Setsuo Arikawa
Kenji Abe , Shinji Kawasoe
Kenji Abe , Setsuo Arikawa
Setsuo Arikawa , Shinji Kawasoe
Elena Baralis , Paolo Garza
Christian B&ouml;hm , Florian Krebs
Christian Borgelt , Michael R. Berthold
Cheng-Yue Chang , Ming-Syan Chen
Chang-Hung Lee , Cheng-Yue Chang
Chang-Hung Lee , Ming-Syan Chen
Guoping Wang , Yisong Chen
Shihai Dong , Yisong Chen
Guoping Wang , Shihai Dong
Lee-Feng Chien , Shui-Lung Chuang
Korris Fu-Lai Chung , Tak-Chung Fu
Korris Fu-Lai Chung , Robert W. P. Luk
Korris Fu-Lai Chung , Vincent T. Y. Ng
Robert W. P. Luk , Tak-Chung Fu
Tak-Chung Fu , Vincent T. Y. Ng
Robert W. P. Luk , Vincent T. Y. Ng
Brent Heeringa , Paul R. Cohen
Niall M. Adams , Paul R. Cohen
Brent Heeringa , Niall M. Adams
Bing Liu , Gao Cong
Kiseok Choi , Manoranjan Dash
Manoranjan Dash , Peter Scheuermann
Huan Liu , Manoranjan Dash
Kiseok Choi , Peter Scheuermann
Huan Liu , Kiseok Choi
Huan Liu , Peter Scheuermann
Luc De Raedt , Manfred Jaeger
Luc De Raedt , Sau Dan Lee
Heikki Mannila , Luc De Raedt
Manfred Jaeger , Sau Dan Lee
Heikki Mannila , Manfred Jaeger
Heikki Mannila , Sau Dan Lee
Inderjit S. Dhillon , Yuqiang Guan
Inderjit S. Dhillon , Jacob Kogan
